Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Spending,Imports,Inflation Rate,Investment,Life Expectancy,Population,Unemployment Rate,exchange_rate,Trade_Balance,Inflation_diff,Unemployment_diff,GDP_growth_calc,Population_growth,Investment_growth,Investment_to_GDP,Trade_to_GDP,Inflation_volatility,Inflation_shock
India,2002,73452895951.6331,5208967106.27894,514939140318.756,3.80397532112175,469.149928973927,58260703884.4037,78498759285.7313,4.29715203929563,155775784776.875,63.649,1097600380.0,28.1756878910456,48.6103191666667,-5045863334.09819,0.1370253378537567,0.009777586614564404,0.060767535958080376,0.01827797666399178,0.07294757938650465,0.3025130012071857,-0.009798950864319065,3.9583811303539327,0
India,2003,90838575243.7621,3681984671.43428,607700687237.318,7.8603814759073,544.143133545002,66094802386.139,95071869378.5573,3.80585899528851,187413068492.144,64.086,1116803006.0,28.4660287698,46.5832841666667,-4233294134.7951965,-0.11432991886590327,0.010304659814416528,0.1801407965631454,0.01749509780599756,0.2030950045322164,0.3083969994244154,-0.006966084165611647,4.0573374729409615,0
India,2004,126648472020.752,5429250989.85717,709152728830.775,7.92293661199932,624.258826510066,73785230628.5655,139310848797.436,3.76725173477515,248887728627.02,64.484,1135991513.0,28.7726067228528,45.3164666666666,-12662376776.684006,-0.010144164710556569,0.010769958659567314,0.16694409554590184,0.01718163982090859,0.32801693408831234,0.35096491701777266,-0.017855641333512553,0.3742926372727728,0
India,2005,160838260680.778,7269407225.61438,820383763511.445,7.92343062148318,710.488080408949,85042131081.0356,183736617243.328,4.24634362031922,307055400956.369,64.939,1154676322.0,29.0945497159107,44.099975,-22898356562.549988,0.12717278251453656,0.011189218834392056,0.15685060517790506,0.01644801812881158,0.23371048725555443,0.37428264016598295,-0.027911762252021386,0.22677358497218073,0
India,2006,199973922363.783,20029119267.1396,940259888787.721,8.06073257166651,801.668353659022,92168697919.314,229955027127.372,5.79652337561634,366687312639.919,65.373,1172878890.0,29.4309857146804,45.3070083333333,-29981104763.58902,0.3650622497622047,0.0115635403212897,0.1461220109515291,0.01576421690926466,0.19420570847416352,0.3899850637175321,-0.03188597654872178,0.2680443592531957,0
India,2007,253077526013.168,25227740886.6819,1216736438834.96,7.6608150670107,1021.88707706826,119995955707.838,302803952552.5,6.37288135593231,510430648406.794,65.803,1190676021.0,29.7810426848684,41.3485333333333,-49726426539.332,0.09943166670223014,0.011894163980154637,0.2940426932427169,0.015173886367756184,0.3920052066487194,0.41950798226733277,-0.040868691815415394,0.8270928167319289,0
India,2008,288902044820.698,43406277075.8108,1198895139005.92,3.08669805921981,992.519584923828,126345338308.574,350926955799.106,8.34926704907581,460644521506.104,66.247,1207930964.0,30.1438485921815,43.5051833333333,-62024910978.40802,0.3101243507858098,0.01218244475696073,-0.014663241158556328,0.01449171957415274,-0.09753749516430354,0.38422419652819145,-0.05173505918944405,1.2071050544076547,0
India,2009,273752124889.211,35581372929.6641,1341888016994.9,7.86188883286074,1094.94974598436,153775903892.302,347177967968.316,10.8823529411764,526782184418.779,66.7,1225524753.0,30.5185314023263,48.4052666666666,-73425843079.10498,0.30339021104624764,0.012429826569722913,0.11927054613595689,0.014565227255818547,0.14357635839548055,0.3925679175513355,-0.05471830894170959,1.8254538096066457,0
India,2010,375353514026.267,27396885033.7838,1675615519484.96,8.49758470221235,1347.51939071367,184445185751.038,449974370198.802,11.9893899204244,666654093364.027,67.162,1243481564.0,30.9042190810094,45.7258121212121,-74620856172.53497,0.10172772241738448,0.012637819087641278,0.2486999647239032,0.014652344602622547,0.26552133515975784,0.3978562418477354,-0.044533399998271356,2.560938596699258,0
India,2011,447384417625.093,36498654597.8589,1823051829894.55,5.24131619937695,1445.46127486037,202075479769.498,566667744819.908,8.91179336483371,721753910094.54,67.623,1261224954.0,31.2746502853309,46.6704666666667,-119283327194.81494,-0.2566933410304626,0.011986428239797453,0.08798934403216085,0.014269121886233194,0.0826512838951785,0.395904218552189,-0.06543057374387133,2.7179505093604126,0
