Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Debt,Government Spending,Imports,Inflation Rate,Interest Rate,Investment,Life Expectancy,Population,Unemployment Rate
Dominican Republic,1999,7743619441.9376,1344900000.0,22136579396.9218,5.95651024999543,2620.8896817272,16.4168038368014,1745260170.40083,9147200120.2443,6.47054186846928,20.4463313517472,6001840097.81217,70.178,8446208.0,60.3614054332546
Dominican Republic,2000,8628023506.90525,989000000.0,24305780628.6677,4.65172550299128,2831.45883638033,,2119549425.02709,10646556076.7145,7.72413566181615,18.2628978210493,6779529285.92714,70.365,8584190.0,61.3128549215919
Dominican Republic,2001,8164580327.96432,1087900000.0,25601823687.5742,2.46937023763239,2935.89367312668,,2439907298.33307,9887410923.34882,8.8830684881296,17.195792402843,6853773095.88267,70.553,8720283.0,62.2979450293469
Dominican Republic,2002,8337710063.13632,926000000.0,27137440786.2562,4.48650367045651,3065.60329524196,,2706041092.14983,10312030141.0035,5.22336769759446,17.8861180806125,7315373610.16092,70.719,8852235.0,63.2914022524877
Dominican Republic,2003,9022076949.26796,616530000.0,21403167848.1444,-1.34935744782766,2383.26171780393,,1848566564.52162,9052791964.58972,27.4497127394394,-1.55455787609965,4154175679.26456,70.856,8980620.0,64.426197134766
Dominican Republic,2004,9185099134.12289,934480000.0,22322387382.494,2.58556667449577,2451.69161616569,,1693843702.3428,8974480635.31123,51.4608598338065,-8.62150554794135,4604516672.48386,70.73,9104892.0,65.8914085229291
Dominican Republic,2005,10136190144.5863,1118400000.0,35777560683.9366,9.43178931977285,3878.31206735244,,2894186694.97228,11921949245.922,4.19020260472056,17.3300499524692,8863200562.51058,71.043,9225034.0,67.5759180469321
Dominican Republic,2006,10691550324.1964,1528700000.0,37879830084.2627,9.17120650955299,4055.14270347371,,3328510015.07956,13463084948.7095,7.57280523853073,12.0312823228441,10199853171.3255,71.054,9341183.0,69.333853706035
Dominican Republic,2007,11766045683.7059,2252900000.0,43965458508.5056,7.41840577774235,4649.64558875814,,4034739954.82498,15153678844.3438,6.14356655248047,7.61220320142881,12149159566.5496,71.097,9455658.0,71.0193434994977
Dominican Republic,2008,11517105549.6799,2728400000.0,48091433554.186,3.26808671288212,5023.58513403515,,4839507296.41362,18024743516.105,10.6446210953711,8.78614560242396,14378478556.264,71.331,9573130.0,72.4865154265802
Dominican Republic,2009,10171930288.5205,1695300000.0,48223781476.8909,1.00345293018719,4973.95186999952,,5166621837.18798,14253867213.8943,1.44215131834353,14.2220380608105,11270963783.1966,71.587,9695265.0,73.5894974865426
Dominican Republic,2010,12253253717.9847,1820200000.0,53801053352.5005,8.40114541209596,5478.62470398954,,5346760770.91483,17906216036.6345,6.32993220146146,6.44271446721705,14026699570.9982,72.039,9820175.0,74.1642773174177
Dominican Republic,2011,14097050548.0985,2197500000.0,57948261615.957,3.19196227475523,5826.51014109195,,5409619084.53897,20132557519.7272,5.79676809206533,7.02414672142881,14257198378.4217,72.496,9945621.0,74.2440389501301
Dominican Republic,2012,14999070991.3436,3415900000.0,60561635555.6383,2.77567100848816,6013.81965002603,,5999065459.84986,20433273135.4218,3.69449707884776,10.0058845221437,14384938650.3933,72.817,10070411.0,74.2398679969568
Dominican Republic,2013,15878953122.1367,1599900000.0,62555417414.582,4.93473300709881,6136.59429329301,,6549241674.19816,19661135223.9312,4.830950967408,8.56630415564352,13828351240.3533,73.038,10193833.0,74.2251359951216
Dominican Republic,2014,17026265384.3578,2385300000.0,67014329099.5549,7.11122629673892,6496.45166971142,,7034607940.68419,20273979988.3228,2.99864226125218,9.29486724502935,15007596043.2585,73.145,10315528.0,74.1931533822153
Dominican Republic,2015,17058168235.6322,2227300000.0,70966782572.4386,6.98771131236387,6800.95309395474,,7321968248.14839,20090901341.7745,0.836746346724556,12.2048880267936,16074466436.7021,72.982,10434829.0,74.1372305958285
Dominican Republic,2016,18279168807.508,2516100000.0,75552902635.7075,6.71974078681295,7160.44200982307,,7799615486.51276,20804844202.6132,1.61416607245222,12.8105897801929,16752243309.395,72.889,10551430.0,74.0506780735522
Dominican Republic,2017,19118996309.9954,3597900000.0,79070274743.1658,3.93386176401576,7412.71571571512,,8435010425.51159,21016707908.4144,3.27955694678546,9.62636730477926,16747812134.1199,73.37,10666843.0,73.926806252977
Dominican Republic,2018,20392862253.0809,2744500000.0,84994732049.3461,7.09751640210159,7882.98221584944,,8623075377.93431,24089276069.9845,3.56443426013507,7.64602673118607,21420619554.521,73.555,10782053.0,73.7589255716938
Dominican Republic,2019,20793631484.4658,2829200000.0,89146130744.723,4.8940301149584,8183.01623600375,,9306192090.44306,24593322194.2051,1.81060377042959,8.58272820015145,22495903410.0455,73.112,10894043.0,73.5403464672933
Dominican Republic,2020,14764580793.6175,2460600000.0,78546672406.8291,-7.92905234231061,7135.22273255899,,9430541858.70054,20371828906.5741,3.78103179915516,5.23918771591819,19542031862.5189,72.636,11008300.0,73.2643793773663
Dominican Republic,2021,20419747258.6912,3349700000.0,94850719516.7127,14.0124289062207,8527.0754858205,,9937452465.31975,28855223090.105,8.24300347981809,2.22649861965522,28716020756.8126,71.757,11123476.0,72.9243347395035
Dominican Republic,2022,24994895244.9176,4050000000.0,113478087134.8,5.23795652902595,10104.2449349081,,12434735385.6477,36712443290.8362,8.81109209279587,2.09839283957292,34804361480.568,74.211,11230734.0,72.4203155643711
Dominican Republic,2023,25685265157.3429,4750500000.0,120456239153.739,2.19229848237939,10630.431743829,,13585945222.018,34354476733.3362,4.78561281021135,8.17430344456938,33504376347.9921,73.72,11331265.0,72.3577991823338
Dominican Republic,2024,28296491455.8321,4475900000.0,124282245638.568,4.95352204492849,10875.6618443092,,14301332961.0126,36061223105.1343,3.30223338951227,10.5315509404639,33553778958.2372,73.868,11427557.0,72.4121874752151
Ecuador,1980,3066325770.04385,70000000.0,17881508242.4481,3.70868296743329,2189.78417657382,,3270804715.4587,3196674206.94513,11.9092893836134,,3946372312.33761,63.326,8165877.0,46.9598814165697
Ecuador,1981,3188263178.06229,60000000.0,21810759353.7304,5.61286412023385,2600.57152797996,,3461991293.82974,3336485176.3995,14.0479686718867,,4899225729.12425,63.809,8386910.0,47.9516141168213
Ecuador,1982,2921016166.74387,40000000.0,19929846396.4239,0.614845351988635,2314.38354547989,,3454639772.451,3538834101.53464,16.2844880461284,,3604150388.03587,64.271,8611298.0,48.8698950659447
Ecuador,1983,2668859383.64477,50000000.0,17152477036.5005,-0.336868770002951,1940.23393200801,,2639341244.45609,2627142401.21018,48.4182220804492,,3034845691.08603,64.659,8840417.0,49.7232228721393
Ecuador,1984,2938788679.77761,50000000.0,16912509091.855,2.62527326806389,1863.68213493779,,2739671302.55392,2652199403.51428,31.2195815120372,,2644741831.33721,65.202,9074782.0,50.5551420381965
Ecuador,1985,3375175709.16469,62000000.0,17149088413.35,3.93500141252335,1841.77905481426,,2531546610.82659,2750017258.26671,27.9936107429224,,2695307052.07795,65.625,9311154.0,51.3755649277394
Ecuador,1986,2393508490.56698,81000000.0,15314138472.3282,3.46478251574867,1604.24698102055,,2391193381.6298,2677095328.66243,23.0302261142617,,2998550305.59638,66.123,9545998.0,52.1784349561663
